symbol,days_listed,market_cap,volume_24h,avg_daily_volume,volume_stability
NULSUSDT,90,46821531.26123899,472622.7385,6181463.077777778,0.9489701624517163
COSUSDT,90,42137514.67516903,2263287.3617058,780049982.3477778,1.3777495520632583
MTLUSDT,90,98148288.57770748,1581024.7116,2863182.5722222226,1.0909521067666261
WANUSDT,90,47026634.00827104,324739.2204,4472255.0,1.2931304894912874
FUNUSDT,90,51912726.39200267,1018936.628345,691567521.8222222,2.1070883083295193
NKNUSDT,90,79527983.15738302,1022768.3444,26956775.744444445,0.7993526896504312
ARPAUSDT,90,80113904.21246947,1140394.837022,138349497.77111113,1.3650779577803114
VITEUSDT,90,15079421.35908802,704992.772283,335736398.9355556,1.5747066504584741
OGNUSDT,90,87805868.13406828,2347752.4458,43115356.322222225,1.5757057494161162
BNTUSDT,90,86840244.2423346,320708.35286,1736644.7277777777,0.7716514761089922
LTOUSDT,90,67896012.27913937,1246076.2262,18031060.844444446,1.4261491251009095
MBLUSDT,90,64089253.13825852,5651726.741548,1496562526.2333333,0.875157222027895
DATAUSDT,90,57323694.7590111,1589710.393471,49262949.739999995,1.056843316493703
ARDRUSDT,90,97815168.00074059,1297501.39367,22079876.577777777,1.076347920343786
MDTUSDT,90,40817589.88461994,2338799.042064,79090472.51111113,1.613894446621002
STMXUSDT,90,71458867.39441581,2835765.339859,758967841.0888889,1.3713459819540774
KMDUSDT,90,44926358.69487006,717129.7349,8162136.988888889,2.1349314152511956
DIAUSDT,90,92885656.32999177,884519.74832,9924244.633333337,1.3007636577912023
FIOUSDT,90,34679585.63759017,1580122.9385,109493819.92222223,0.6097739330357883
BELUSDT,90,45508714.03307038,2490678.27247,5874119.383333335,1.0005290050839557
WINGUSDT,90,29989461.34072233,1729812.8212,1069529.5226666667,1.6356741001813933
FLMUSDT,90,50678433.98573502,711618.8308,30431963.044444446,0.9160413713129899
ALPHAUSDT,90,80243533.11734264,1883288.7096,71706788.08888888,1.9643055747393596
HARDUSDT,90,19503924.30799915,844850.6083,31468916.144444443,1.2685943657713106
AVAUSDT,90,81437868.41294414,9241794.57237,9165223.546666669,2.600441430295141
JUVUSDT,90,12483865.12173318,437379.46147,1141851.8231111108,0.8829543513780467
PSGUSDT,90,23319595.36210933,1460706.3325,1938214.3283333331,1.3303912508738989
OGUSDT,90,20323664.88394696,1248447.0732,3242180.4211111115,1.5052839414872992
ATMUSDT,90,12404962.59911595,516368.78346,1017503.7746666666,1.0091147574124377
ASRUSDT,90,13056528.01749069,957901.9532,1080345.9044444445,0.9066111500316952
FIROUSDT,90,30266801.69082817,1397854.2268,1922295.471111111,1.8447712109115109
LITUSDT,90,62800894.56679337,1927177.3593,3921176.836666667,1.0219263396074734
ACMUSDT,90,10572282.51900402,303615.1507,651674.1555555556,0.9432576082483108
BADGERUSDT,90,86908180.77333811,1874022.21947,974891.2021111113,0.9309301234995775
FISUSDT,90,50539080.11125548,6081456.176,10353887.433333334,1.368543438727569
DEGOUSDT,90,64773671.02483238,2435762.04537,2539574.406888889,1.535949503527658
ALICEUSDT,90,85145662.55671997,1766995.29412,3361376.1264444445,0.8763666607245241
LINAUSDT,90,41484491.36695664,2236710.564028,770117651.116111,1.1365204261210926
PERPUSDT,90,54224981.71629329,1220270.19489,4009795.3972222223,1.391171588066549
TKOUSDT,90,79851394.21420833,1235463.38101,6847143.043333332,0.9458900563656265
TLMUSDT,90,82543424.64592542,2720632.90205,482912778.74444443,0.837994971031402
BARUSDT,90,20995302.29714732,635012.33729,1643415.5267777778,1.0168960571703656
FORTHUSDT,90,85111407.25704706,4219572.47819,573934.1695555556,1.2908440031560846
BAKEUSDT,90,78473269.15059665,1650338.09758,23780185.14222222,0.7024215918268361
BURGERUSDT,90,27640801.02345572,2351533.29268,7161541.357777777,0.8005076012621183
GTCUSDT,90,69682555.49237838,1078194.0109,4184033.5355555555,0.7375574656978813
ERNUSDT,90,64414954.69374624,684462.8067,1080899.1955555556,1.1418367262125746
MLNUSDT,90,55158441.27080844,755682.42244,124219.13377777777,1.4594199063349276
CLVUSDT,90,82145683.75871442,2061389.28735,196757650.03888893,2.5124335718373785
FARMUSDT,90,33960880.51414866,824873.08564,48183.17491111112,2.1146628991777434
ALPACAUSDT,90,27610663.95934123,566119.91957,21860403.96111111,1.9522214787782723
QUICKUSDT,90,34477101.98691056,604686.7319,47075541.62222222,0.7071507248701097
MBOXUSDT,90,84583151.26709495,3611270.28603,32803827.091111116,0.5559794378070534
GHSTUSDT,90,57394907.68912259,697354.6135,4423012.718888889,1.0221143190698232
VIDTUSDT,90,28389596.13982181,1280807.63552,150906371.7,0.5504694239131209
USDPUSDT,90,93681206.6419312,64068.4728,979758.088888889,1.1197811169418481
SYSUSDT,90,99661212.68392746,717272.253,21172534.877777778,0.6289027576934194
RADUSDT,90,72053639.08107042,3529874.9914,4903715.157777778,1.1396699205798737
BETAUSDT,90,42271282.6040106,1296558.22802,69273474.75555556,1.340409076326289
RAREUSDT,90,96155169.9719292,1595991.35299,59458654.228888884,1.1500659974524121
LAZIOUSDT,90,13624826.05113815,715526.21846,2062419.9885555555,1.28083662472693
CHESSUSDT,90,40063148.01117346,889169.66774,22087595.76333333,1.0704762463823347
ADXUSDT,90,32156197.05835826,2080742.6971,16989556.8,0.7629206977929311
CITYUSDT,90,16081517.17012885,439206.70446,862636.1532222223,0.8654493459053371
QIUSDT,90,89964753.02094829,713054.06023,123589917.84444444,1.1705875268213746
